央视频道,#genre#
安徽卫视,http://114.246.201.137:7088/rtp/239.3.1.211:8064
辽宁卫视,http://114.246.201.137:7088/rtp/239.3.1.210:8056
北京卫视,http://114.246.201.137:7088/rtp/239.3.1.241:8000
湖南卫视,http://114.246.201.137:7088/rtp/239.3.1.132:8012
东方卫视,http://114.246.201.137:7088/rtp/239.3.1.136:8032
浙江卫视,http://114.246.201.137:7088/rtp/239.3.1.137:8036
江苏卫视,http://114.246.201.137:7088/rtp/239.3.1.135:8028
深圳卫视,http://114.246.201.137:7088/rtp/239.3.1.134:8020
广东卫视,http://114.246.201.137:7088/rtp/239.3.1.142:8048
天津卫视,http://114.246.201.137:7088/rtp/239.3.1.141:1234
重庆卫视,http://114.246.201.137:7088/rtp/239.3.1.122:8160
山东卫视,http://114.246.201.137:7088/rtp/239.3.1.209:8052
黑龙江卫视,http://114.246.201.137:7088/rtp/239.3.1.133:8016
河北卫视,http://114.246.201.137:7088/rtp/239.3.1.148:8072
湖北卫视,http://114.246.201.137:7088/rtp/239.3.1.138:8044
吉林卫视,http://114.246.201.137:7088/rtp/239.3.1.240:8172
贵州卫视,http://114.246.201.137:7088/rtp/239.3.1.149:8076
东南卫视,http://114.246.201.137:7088/rtp/239.3.1.156:8148
江西卫视,http://114.246.201.137:7088/rtp/239.3.1.123:8164
海南卫视,http://114.246.201.137:7088/rtp/239.3.1.45:8304
云南卫视,http://114.246.201.137:7088/rtp/239.3.1.26:8108
兵团卫视,http://114.246.201.137:7088/rtp/239.3.1.144:4120
厦门卫视,http://114.246.201.137:7088/rtp/239.3.1.143:4120
四川卫视,http://114.246.201.137:7088/rtp/239.3.1.29:8288
南方卫视,http://114.246.201.137:7088/rtp/239.3.1.161:8001
宁夏卫视,http://114.246.201.137:7088/rtp/239.3.1.46:8124
山西卫视,http://114.246.201.137:7088/rtp/239.3.1.42:8172
广西卫视,http://114.246.201.137:7088/rtp/239.3.1.39:8300
新疆卫视,http://114.246.201.137:7088/rtp/239.3.1.48:8160
河南卫视,http://114.246.201.137:7088/rtp/239.3.1.27:8128
甘肃卫视,http://114.246.201.137:7088/rtp/239.3.1.49:8188
西藏卫视,http://114.246.201.137:7088/rtp/239.3.1.47:8164
三沙卫视,http://114.246.201.137:7088/rtp/239.3.1.155:4120
陕西卫视,http://114.246.201.137:7088/rtp/239.3.1.41:8140
青海卫视,http://114.246.201.137:7088/rtp/239.3.1.44:8184
内蒙古卫视,http://114.246.201.137:7088/rtp/239.3.1.43:8176

安徽卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225590/index.m3u8
